0, tensor([0.0047]), 5.774199962615967e-08, 792
1, tensor([0.0035]), 6.891787052154541e-08, 535
2, tensor([0.0030]), 4.0978193283081055e-08, 793
3, tensor([0.0027]), 5.4016709327697754e-08, 536
4, tensor([0.0026]), 9.313225746154785e-08, 531
5, tensor([0.0015]), 2.9802322387695312e-08, 538
6, tensor([0.0017]), 6.7870132625103e-08, 538
7, tensor([0.0022]), 5.960464477539063e-08, 535
8, tensor([0.0028]), 6.332993507385254e-08, 789
9, tensor([0.0042]), 7.450580596923828e-08, 530
10, tensor([0.0018]), 5.4016709327697754e-08, 795
11, tensor([0.0011]), 4.0978193283081055e-08, 534
12, tensor([0.0016]), 5.587935447692871e-08, 535
13, tensor([0.0004]), 7.217749953269958e-08, 793
14, tensor([0.0040]), 6.51925802230835e-08, 533
15, tensor([0.0018]), 6.472691893577576e-08, 797
16, tensor([0.0006]), 6.332993507385254e-08, 797
17, tensor([0.0014]), 6.51925802230835e-08, 792
18, tensor([0.0035]), 6.146728992462158e-08, 533
19, tensor([0.0044]), 7.078051567077637e-08, 531
20, tensor([0.0019]), 5.820766091346741e-08, 532
21, tensor([0.0053]), 6.705522537231445e-08, 533
22, tensor([0.0025]), 5.587935447692871e-08, 536
23, tensor([0.0016]), 1.341104507446289e-07, 791
24, tensor([0.0051]), 5.832407623529434e-08, 797
25, tensor([0.0021]), 7.078051567077637e-08, 791
26, tensor([0.0010]), 7.35744833946228e-08, 792
27, tensor([0.0015]), 8.707866072654724e-08, 539
28, tensor([0.1214]), 6.239861249923706e-08, 533
29, tensor([0.0011]), 8.568167686462402e-08, 795
30, tensor([0.0022]), 5.657784640789032e-08, 532
31, tensor([0.0011]), 8.102506399154663e-08, 536
32, tensor([0.0017]), 6.705522537231445e-08, 533
33, tensor([0.0023]), 5.587935447692871e-08, 535
34, tensor([0.0031]), 4.0978193283081055e-08, 797
35, tensor([0.0045]), 5.029141902923584e-08, 535
36, tensor([0.0029]), 5.494803190231323e-08, 793
37, tensor([0.0012]), 7.078051567077637e-08, 538
38, tensor([0.0013]), 4.842877388000488e-08, 793
39, tensor([0.0013]), 6.332993507385254e-08, 794
40, tensor([0.0023]), 1.30385160446167e-07, 798
41, tensor([0.0024]), 5.029141902923584e-08, 535
42, tensor([0.0041]), 1.0244548320770264e-07, 537
43, tensor([0.1154]), 1.4901161193847656e-07, 536
44, tensor([0.0032]), 1.0058283805847168e-07, 536
45, tensor([0.0043]), 7.636845111846924e-08, 537
46, tensor([0.0018]), 5.436595529317856e-08, 540
47, tensor([0.1177]), 8.195638656616211e-08, 542
48, tensor([0.0016]), 5.587935447692871e-08, 798
49, tensor([0.0894]), 1.1548399925231934e-07, 535
50, tensor([0.0014]), 5.960464477539063e-08, 792
51, tensor([0.0018]), 6.51925802230835e-08, 791
52, tensor([0.0016]), 6.332993507385254e-08, 534
53, tensor([0.0040]), 7.82310962677002e-08, 792
54, tensor([0.0014]), 6.51925802230835e-08, 790
55, tensor([0.0025]), 6.332993507385254e-08, 536
56, tensor([0.0027]), 8.381903171539307e-08, 794
57, tensor([0.1329]), 9.685754776000977e-08, 537
58, tensor([0.0034]), 7.264316082000732e-08, 795
59, tensor([0.0022]), 3.725290298461914e-08, 534
60, tensor([0.0020]), 6.705522537231445e-08, 790
61, tensor([0.0018]), 9.499490261077881e-08, 535
62, tensor([0.0021]), 6.332993507385254e-08, 1053
63, tensor([0.0021]), 7.82310962677002e-08, 531
64, tensor([0.0040]), 8.568167686462402e-08, 790
65, tensor([0.0019]), 8.568167686462402e-08, 792
66, tensor([0.0004]), 5.3085386753082275e-08, 537
67, tensor([0.0045]), 6.612390279769897e-08, 538
68, tensor([0.0034]), 8.568167686462402e-08, 790
69, tensor([0.0024]), 7.450580596923828e-08, 794
70, tensor([0.0032]), 7.974449545145035e-08, 532
71, tensor([0.0030]), 4.6566128730773926e-08, 792
72, tensor([0.0007]), 6.51925802230835e-08, 793
73, tensor([0.0011]), 6.507616490125656e-08, 532
74, tensor([0.1724]), 1.1920928955078125e-07, 795
75, tensor([0.0028]), 1.0058283805847168e-07, 535
76, tensor([0.0021]), 8.195638656616211e-08, 532
77, tensor([0.0025]), 7.450580596923828e-08, 532
78, tensor([0.0024]), 6.05359673500061e-08, 794
79, tensor([0.0011]), 5.727633833885193e-08, 533
80, tensor([0.0027]), 6.332993507385254e-08, 793
81, tensor([0.0051]), 6.705522537231445e-08, 535
82, tensor([0.0015]), 9.313225746154785e-08, 535
83, tensor([0.0040]), 5.21540641784668e-08, 539
84, tensor([0.0040]), 5.4016709327697754e-08, 533
85, tensor([0.0024]), 6.705522537231445e-08, 536
86, tensor([0.0014]), 8.009374141693115e-08, 1049
87, tensor([0.0020]), 5.21540641784668e-08, 533
88, tensor([0.0012]), 7.078051567077637e-08, 795
89, tensor([0.0028]), 7.636845111846924e-08, 530
90, tensor([0.0032]), 8.940696716308594e-08, 535
91, tensor([0.0041]), 6.146728992462158e-08, 794
92, tensor([0.1141]), 9.12696123123169e-08, 1049
93, tensor([0.0032]), 8.195638656616211e-08, 532
94, tensor([0.0004]), 6.734626367688179e-08, 534
95, tensor([0.0006]), 6.705522537231445e-08, 535
96, tensor([0.0038]), 4.0046870708465576e-08, 537
97, tensor([0.0012]), 9.96515154838562e-08, 536
98, tensor([0.0041]), 6.146728992462158e-08, 793
99, tensor([0.0020]), 7.078051567077637e-08, 791
mean err: 0.010904387570917606
0, tensor([0.0047]), 5.774199962615967e-08, 792
1, tensor([0.0035]), 6.891787052154541e-08, 535
2, tensor([0.0030]), 4.0978193283081055e-08, 793
3, tensor([0.0027]), 5.4016709327697754e-08, 536
4, tensor([0.0026]), 9.313225746154785e-08, 531
5, tensor([0.0015]), 2.9802322387695312e-08, 538
6, tensor([0.0017]), 6.7870132625103e-08, 538
7, tensor([0.0022]), 5.960464477539063e-08, 535
8, tensor([0.0028]), 6.332993507385254e-08, 789
9, tensor([0.0042]), 7.450580596923828e-08, 530
10, tensor([0.0018]), 5.4016709327697754e-08, 795
11, tensor([0.0011]), 4.0978193283081055e-08, 534
12, tensor([0.0016]), 5.587935447692871e-08, 535
13, tensor([0.0004]), 7.217749953269958e-08, 793
14, tensor([0.0040]), 6.51925802230835e-08, 533
15, tensor([0.0018]), 6.472691893577576e-08, 797
16, tensor([0.0006]), 6.332993507385254e-08, 797
17, tensor([0.0014]), 6.51925802230835e-08, 792
18, tensor([0.0035]), 6.146728992462158e-08, 533
19, tensor([0.0044]), 7.078051567077637e-08, 531
20, tensor([0.0019]), 5.820766091346741e-08, 532
21, tensor([0.0053]), 6.705522537231445e-08, 533
22, tensor([0.0025]), 5.587935447692871e-08, 536
23, tensor([0.0016]), 1.341104507446289e-07, 791
24, tensor([0.0051]), 5.832407623529434e-08, 797
25, tensor([0.0021]), 7.078051567077637e-08, 791
26, tensor([0.0010]), 7.35744833946228e-08, 792
27, tensor([0.0015]), 8.707866072654724e-08, 539
