84, tensor([0.0003]), fsolve flag:1, 8.940696716308594e-08, 1062
85, tensor([0.0006]), fsolve flag:1, 9.452924132347107e-08, 1062
86, tensor([0.0008]), fsolve flag:1, 9.12696123123169e-08, 546
87, tensor([0.0004]), fsolve flag:1, 1.1175870895385742e-07, 1061
88, tensor([0.0005]), fsolve flag:1, 9.336508810520172e-08, 805
89, tensor([0.0005]), fsolve flag:1, 1.043081283569336e-07, 1068
90, tensor([0.0005]), fsolve flag:1, 1.1175870895385742e-07, 550
91, tensor([0.0004]), fsolve flag:1, 9.685754776000977e-08, 802
92, tensor([0.0993]), fsolve flag:1, 9.872019290924072e-08, 1066
93, tensor([0.0003]), fsolve flag:1, 1.043081283569336e-07, 802
94, tensor([0.0004]), fsolve flag:1, 1.2665987014770508e-07, 1320
95, tensor([0.0004]), fsolve flag:1, 9.313225746154785e-08, 544
96, tensor([0.0008]), fsolve flag:1, 8.195638656616211e-08, 803
97, tensor([0.0003]), fsolve flag:1, 8.940696716308594e-08, 1063
98, tensor([0.0003]), fsolve flag:1, 1.1920928955078125e-07, 1060
99, tensor([0.0006]), fsolve flag:1, 1.0617077350616455e-07, 802
mean err: 0.010035265237092972
