85, tensor([0.0003]), fsolve flag:5, 1.862645149230957e-08, 1052
86, tensor([0.0004]), fsolve flag:4, 1.4901161193847656e-08, 1824
87, tensor([0.0002]), fsolve flag:1, 1.862645149230957e-08, 1311
88, tensor([0.0002]), fsolve flag:1, 2.2351741790771484e-08, 1312
89, tensor([0.0003]), fsolve flag:1, 1.4901161193847656e-08, 1312
90, tensor([0.0004]), fsolve flag:1, 1.4901161193847656e-08, 2087
91, tensor([0.0004]), fsolve flag:1, 1.862645149230957e-08, 1313
92, tensor([0.0004]), fsolve flag:1, 2.9802322387695312e-08, 1053
93, tensor([0.0004]), fsolve flag:4, 1.4901161193847656e-08, 1566
94, tensor([0.0006]), fsolve flag:1, 2.9802322387695312e-08, 1310
95, tensor([0.0005]), fsolve flag:1, 2.2351741790771484e-08, 1571
96, tensor([0.0002]), fsolve flag:1, 1.4901161193847656e-08, 795
97, tensor([0.0003]), fsolve flag:5, 1.4901161193847656e-08, 1051
98, tensor([0.0003]), fsolve flag:1, 2.9802322387695312e-08, 1308
99, tensor([0.0005]), fsolve flag:1, 1.862645149230957e-08, 795
mean err: 0.00813269428908825
