>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 1321
>> Training Mesh resolution: 257x257
/root/autodl-tmp/project/MPNO_final/BlatzKo_1d/ex35/MLP/PNO_BB.py:140: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  ksi_range = torch.range(-m_fact, m_fact).int()
tensor(0.8109)
tensor(3.3456)
>> Preprocessing completed, time elapsed:  0.40s
>> ntrain: 300, lr: 0.01, gamma: 0.6, w_d: 0.0
----------------------------------------------------------------------------------------------------
>> epoch [  51/3000], runtime:  2.88s, train loss: 9.4313e-06 (best: 6.9045e-06/8.2232e-06)
>> epoch [  52/3000], runtime:  2.87s, train loss: 1.3291e-05 (best: 6.9045e-06/8.2232e-06)
>> epoch [  53/3000], runtime:  2.55s, train loss: 1.0849e-05 (best: 6.9045e-06/8.2232e-06)
>> epoch [  54/3000], runtime:  2.74s, train loss: 1.0674e-05 (best: 6.9045e-06/8.2232e-06)
>> epoch [  55/3000], runtime:  2.87s, train loss: 8.7262e-06 (best: 6.9045e-06/8.2232e-06)
>> epoch [  56/3000], runtime:  2.85s, train loss: 1.2333e-05 (best: 6.9045e-06/8.2232e-06)
>> epoch [  57/3000], runtime:  2.44s, train loss: 1.1967e-05 (best: 6.9045e-06/8.2232e-06)
>> epoch [  58/3000], runtime:  2.38s, train loss: 7.2138e-06 (best: 6.9045e-06/8.2232e-06)
>> epoch [  59/3000], runtime:  2.81s, train loss: 1.2251e-05 (best: 6.9045e-06/8.2232e-06)
>> epoch [  60/3000], runtime:  2.88s, train loss: 1.4044e-05 (best: 6.9045e-06/8.2232e-06)
>> epoch [  61/3000], runtime:  2.89s, train loss: 1.4692e-05 (best: 6.9045e-06/8.2232e-06)
>> epoch [  62/3000], runtime:  2.85s, train loss: 9.4992e-06 (best: 6.9045e-06/8.2232e-06)
>> epoch [  63/3000], runtime:  2.46s, train loss: 9.6301e-06 (best: 6.9045e-06/8.2232e-06)
>> epoch [  64/3000], runtime:  2.88s, train loss: 8.7150e-06 (best: 6.9045e-06/8.2232e-06)
>> epoch [  65/3000], runtime:  2.88s, train loss: 8.1898e-06 (best: 6.9045e-06/8.2232e-06)
>> epoch [  66/3000], runtime:  2.87s, train loss: 1.0784e-05 (best: 6.9045e-06/8.2232e-06)
>> epoch [  67/3000], runtime:  2.87s, train loss: 9.2866e-06 (best: 6.9045e-06/8.2232e-06)
>> epoch [  68/3000], runtime: 2.86s, train loss: 6.1397e-06, valid loss: 6.2027e-06 , test loss: 1.4964e-04
>> epoch [  69/3000], runtime:  2.87s, train loss: 5.2636e-06 (best: 6.1397e-06/6.2027e-06)
>> epoch [  70/3000], runtime:  2.66s, train loss: 1.0877e-05 (best: 6.1397e-06/6.2027e-06)
>> epoch [  71/3000], runtime:  2.69s, train loss: 8.9199e-06 (best: 6.1397e-06/6.2027e-06)
>> epoch [  72/3000], runtime:  2.87s, train loss: 1.0053e-05 (best: 6.1397e-06/6.2027e-06)
>> epoch [  73/3000], runtime: 2.89s, train loss: 5.2451e-06, valid loss: 5.0861e-06 , test loss: 1.4590e-04
>> epoch [  74/3000], runtime: 2.75s, train loss: 4.1207e-06, valid loss: 4.9196e-06 , test loss: 1.4661e-04
>> epoch [  75/3000], runtime:  2.49s, train loss: 1.0745e-05 (best: 4.1207e-06/4.9196e-06)
>> epoch [  76/3000], runtime:  2.71s, train loss: 9.2555e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  77/3000], runtime:  2.88s, train loss: 1.4573e-05 (best: 4.1207e-06/4.9196e-06)
>> epoch [  78/3000], runtime:  2.87s, train loss: 1.6889e-05 (best: 4.1207e-06/4.9196e-06)
>> epoch [  79/3000], runtime:  2.89s, train loss: 8.2534e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  80/3000], runtime:  2.88s, train loss: 8.4155e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  81/3000], runtime:  2.87s, train loss: 1.0745e-05 (best: 4.1207e-06/4.9196e-06)
>> epoch [  82/3000], runtime:  2.69s, train loss: 1.2020e-05 (best: 4.1207e-06/4.9196e-06)
>> epoch [  83/3000], runtime:  2.58s, train loss: 8.1183e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  84/3000], runtime:  2.88s, train loss: 8.8217e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  85/3000], runtime:  2.86s, train loss: 4.9068e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  86/3000], runtime:  2.67s, train loss: 1.1709e-05 (best: 4.1207e-06/4.9196e-06)
>> epoch [  87/3000], runtime:  2.35s, train loss: 8.1361e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  88/3000], runtime:  2.65s, train loss: 7.4988e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  89/3000], runtime:  2.86s, train loss: 8.2240e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  90/3000], runtime:  2.89s, train loss: 4.1788e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  91/3000], runtime:  2.89s, train loss: 5.6339e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  92/3000], runtime:  2.88s, train loss: 7.1326e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  93/3000], runtime:  2.90s, train loss: 6.5559e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  94/3000], runtime:  2.88s, train loss: 4.1127e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  95/3000], runtime:  2.88s, train loss: 5.3626e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  96/3000], runtime:  2.88s, train loss: 6.4060e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  97/3000], runtime:  2.87s, train loss: 5.6085e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  98/3000], runtime:  2.89s, train loss: 6.9527e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [  99/3000], runtime:  2.48s, train loss: 1.0674e-05 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 100/3000], runtime:  2.85s, train loss: 1.1689e-05 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 101/3000], runtime:  2.88s, train loss: 1.7384e-05 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 102/3000], runtime:  2.87s, train loss: 8.6448e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 103/3000], runtime:  2.89s, train loss: 5.8726e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 104/3000], runtime:  2.45s, train loss: 7.7560e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 105/3000], runtime:  2.90s, train loss: 6.1920e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 106/3000], runtime:  2.89s, train loss: 7.0990e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 107/3000], runtime:  2.91s, train loss: 6.7925e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 108/3000], runtime:  2.90s, train loss: 1.0020e-05 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 109/3000], runtime:  2.42s, train loss: 8.3186e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 110/3000], runtime:  2.88s, train loss: 8.6421e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 111/3000], runtime:  2.88s, train loss: 8.5027e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 112/3000], runtime:  2.87s, train loss: 1.0122e-05 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 113/3000], runtime:  2.87s, train loss: 5.4056e-06 (best: 4.1207e-06/4.9196e-06)
>> epoch [ 114/3000], runtime:  2.47s, train loss: 6.6581e-06 (best: 4.1207e-06/4.9196e-06)
