300, 0.01, 128_5_256_4, 0.24401224533716837,0.2681525659561157,0.27640146732330323,598
300, 0.01, 128_5_256_4, 0.005758842950065931,0.00663076251745224,0.005087934657931328,999
300, 0.01, 128_5_256_4, 5.579420748593596e-05,5.0490877474658194e-05,3.7967280368320646e-05,2666
300, 0.01, 128_5_256_4, 0.017780999292929967,0.019075238704681398,0.01680789440870285,2727
300, 0.01, 128_5_256_4, 0.01721305713057518,0.018491166234016417,0.01629455715417862,2736

300, 0.008, 128_5_256_4, 0.24490950187047322,0.26884243011474607,0.2778231716156006,618
300, 0.008, 128_5_256_4, 0.0361003706852595,0.03827238917350769,0.03352818727493286,2737
300, 0.008, 128_5_256_4, 4.748681628067667e-05,4.108356661163271e-05,3.0477166292257606e-05,2817
300, 0.008, 128_5_256_4, 1.522010739184528e-05,6.195258029038087e-06,3.827360924333334e-06,2456
300, 0.01, 128_5_256_4, 1.009482820033251e-05,4.438553260115441e-06,2.8656438735197296e-06,1641

300, 0.01, 128_5_64_5, 0.24396233558654784,0.2680702209472656,0.27630373954772947,464
300, 0.01, 128_5_64_5, 0.005763520188629627,0.006642468869686126,0.005091727748513222,874
300, 0.01, 128_5_64_5, 4.622254040441476e-05,4.3604522943496704e-05,3.274835646152496e-05,2107
300, 0.01, 128_5_64_5, 8.373786149604712e-06,3.343148455314804e-06,2.203627082053572e-06,1442
300, 0.01, 128_5_64_5, 6.7102046371777155e-06,2.590954773040721e-06,1.8079780602420214e-06,1295
300, 0.01, 128_5_64_5, 3.561797308672491e-06,2.005184978770558e-06,1.6059612971730531e-06,1259
300, 0.006, 128_5_128_5, 7.562608949835218e-06,3.3683995934552513e-06,2.353871750528924e-06,3114
300, 0.01, 128_5_128_5, 0.00390625: 2.2520419573387093e-06,1.0547889723966364e-06,8.024865201150533e-07,1175
