PID: 167375
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 202532
>> Preprocessing completed, time elapsed:  0.58s
>> ntrain: 200, lr: 0.001, gamma: 0.5, w_d: 0.0
>> epoch [  64/1000], runtime:  1.95s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  65/1000], runtime:  1.92s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  66/1000], runtime:  1.92s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  67/1000], runtime:  1.90s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  68/1000], runtime:  1.98s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  69/1000], runtime:  1.97s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  70/1000], runtime:  1.98s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  71/1000], runtime:  2.03s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  72/1000], runtime:  2.09s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  73/1000], runtime:  2.00s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  74/1000], runtime:  1.87s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  75/1000], runtime:  1.97s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  76/1000], runtime:  2.01s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  77/1000], runtime:  2.00s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  78/1000], runtime:  1.96s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  79/1000], runtime:  2.00s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  80/1000], runtime:  1.98s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  81/1000], runtime:  2.00s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  82/1000], runtime:  1.99s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  83/1000], runtime:  1.98s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  84/1000], runtime:  1.96s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  85/1000], runtime:  2.04s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  86/1000], runtime:  1.94s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  87/1000], runtime:  1.92s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  88/1000], runtime:  2.08s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  89/1000], runtime:  2.06s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  90/1000], runtime:  2.01s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  91/1000], runtime:  2.03s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  92/1000], runtime:  2.11s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  93/1000], runtime:  2.10s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  94/1000], runtime:  2.00s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  95/1000], runtime:  1.96s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  96/1000], runtime:  2.00s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  97/1000], runtime:  2.04s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  98/1000], runtime:  2.00s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  99/1000], runtime:  1.87s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [ 100/1000], runtime:  1.73s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [ 101/1000], runtime:  1.88s, train err:  nan (best:  100000000.0000/ 100000000.0000)
----------------------------------------------------------------------------------------------------
