0, tensor([0.0147]), 8.940696716308594e-08, 216
1, tensor([0.0109]), 1.1920928955078125e-07, 286
2, tensor([0.0090]), 1.1920928955078125e-07, 154
3, tensor([0.0074]), 1.1315569281578064e-07, 148
4, tensor([0.0070]), 6.891787052154541e-08, 220
5, tensor([0.0041]), 7.683411240577698e-08, 222
6, tensor([0.0059]), 1.148437149822712e-07, 219
7, tensor([0.0062]), 9.872019290924072e-08, 152
8, tensor([0.0083]), 8.335337042808533e-08, 218
9, tensor([0.0132]), 1.0058283805847168e-07, 153
10, tensor([0.0058]), 5.587935447692871e-08, 283
11, tensor([0.0032]), 1.1827796697616577e-07, 152
12, tensor([0.0055]), 8.568167686462402e-08, 151
13, tensor([0.0011]), 1.3969838619232178e-07, 285
14, tensor([0.0136]), 6.891787052154541e-08, 220
15, tensor([0.0053]), 7.404014468193054e-08, 288
16, tensor([0.0019]), 9.96515154838562e-08, 220
17, tensor([0.0049]), 1.2759119272232056e-07, 153
18, tensor([0.0120]), 7.078051567077637e-08, 282
19, tensor([0.0137]), 1.1920928955078125e-07, 153
20, tensor([0.0071]), 9.685754776000977e-08, 217
21, tensor([0.0155]), 1.1175870895385742e-07, 288
22, tensor([0.0072]), 7.264316082000732e-08, 284
23, tensor([0.0052]), 1.0523945093154907e-07, 149
24, tensor([0.0172]), 1.424923539161682e-07, 150
25, tensor([0.0063]), 1.1734664440155029e-07, 158
26, tensor([0.0030]), 1.1594966053962708e-07, 280
27, tensor([0.0037]), 8.568167686462402e-08, 224
28, tensor([0.0124]), 8.568167686462402e-08, 219
29, tensor([0.0041]), 1.3224780559539795e-07, 147
30, tensor([0.0072]), 1.6763806343078613e-07, 216
31, tensor([0.0030]), 9.506766218692064e-08, 218
32, tensor([0.0053]), 9.313225746154785e-08, 218
33, tensor([0.0065]), 8.568167686462402e-08, 222
34, tensor([0.0091]), 5.587935447692871e-08, 155
35, tensor([0.0140]), 9.872019290924072e-08, 217
36, tensor([0.0084]), 1.4156103134155273e-07, 217
37, tensor([0.0045]), 1.0617077350616455e-07, 218
38, tensor([0.0033]), 7.82310962677002e-08, 217
39, tensor([0.0036]), 1.5273690223693848e-07, 281
40, tensor([0.0075]), 7.636845111846924e-08, 150
41, tensor([0.0070]), 8.754432201385498e-08, 217
42, tensor([0.0132]), 1.0710209608078003e-07, 151
43, tensor([0.0072]), 6.682239472866058e-08, 222
44, tensor([0.0105]), 7.82310962677002e-08, 153
45, tensor([0.0132]), 6.845220923423767e-08, 219
46, tensor([0.0062]), 7.264316082000732e-08, 219
47, tensor([0.0040]), 2.0675361156463623e-07, 153
48, tensor([0.0038]), 1.0803341865539551e-07, 152
49, tensor([0.0083]), 1.2293457984924316e-07, 151
50, tensor([0.0046]), 1.8998980522155762e-07, 218
51, tensor([0.0053]), 8.009374141693115e-08, 219
52, tensor([0.0050]), 9.313225746154785e-08, 154
53, tensor([0.0124]), 9.406358003616333e-08, 217
54, tensor([0.0048]), 8.754432201385498e-08, 150
55, tensor([0.0084]), 8.568167686462402e-08, 216
56, tensor([0.0087]), 1.2293457984924316e-07, 222
57, tensor([0.0072]), 1.6391277313232422e-07, 216
58, tensor([0.0107]), 9.872019290924072e-08, 217
59, tensor([0.0063]), 9.313225746154785e-08, 153
60, tensor([0.0061]), 1.2665987014770508e-07, 221
61, tensor([0.0057]), 8.102506399154663e-08, 150
62, tensor([0.0058]), 8.847564458847046e-08, 148
63, tensor([0.0071]), 9.685754776000977e-08, 149
64, tensor([0.0131]), 1.0803341865539551e-07, 214
65, tensor([0.0070]), 9.872019290924072e-08, 151
66, tensor([0.0012]), 9.825453162193298e-08, 217
67, tensor([0.0143]), 9.19681042432785e-08, 221
68, tensor([0.0104]), 9.685754776000977e-08, 218
69, tensor([0.0087]), 8.288770914077759e-08, 148
70, tensor([0.0101]), 1.2293457984924316e-07, 218
71, tensor([0.0101]), 5.960464477539063e-08, 285
72, tensor([0.0021]), 1.5087425708770752e-07, 148
73, tensor([0.0035]), 9.103678166866302e-08, 282
74, tensor([0.0144]), 6.705522537231445e-08, 223
75, tensor([0.0101]), 7.264316082000732e-08, 151
76, tensor([0.0078]), 1.0058283805847168e-07, 287
77, tensor([0.0082]), 8.568167686462402e-08, 150
78, tensor([0.0071]), 1.0058283805847168e-07, 152
79, tensor([0.0032]), 9.12696123123169e-08, 153
80, tensor([0.0098]), 1.1175870895385742e-07, 151
81, tensor([0.0142]), 8.987262845039368e-08, 154
82, tensor([0.0056]), 1.0244548320770264e-07, 217
83, tensor([0.0113]), 6.146728992462158e-08, 219
84, tensor([0.0123]), 1.0058283805847168e-07, 151
85, tensor([0.0081]), 7.450580596923828e-08, 214
86, tensor([0.0046]), 1.0617077350616455e-07, 152
87, tensor([0.0058]), 1.1920928955078125e-07, 216
88, tensor([0.0048]), 1.2479722499847412e-07, 216
89, tensor([0.0098]), 1.1920928955078125e-07, 220
90, tensor([0.0086]), 8.940696716308594e-08, 215
91, tensor([0.0134]), 9.406358003616333e-08, 151
92, tensor([0.0015]), 8.940696716308594e-08, 217
93, tensor([0.0089]), 9.313225746154785e-08, 218
94, tensor([0.0011]), 7.89295881986618e-08, 153
95, tensor([0.0017]), 8.754432201385498e-08, 217
96, tensor([0.0107]), 6.449408829212189e-08, 158
97, tensor([0.0036]), 8.195638656616211e-08, 155
98, tensor([0.0121]), 1.126900315284729e-07, 151
99, tensor([0.0064]), 1.2293457984924316e-07, 152
mean err: 0.007653680630028248
