>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 66433
>> Training Mesh resolution: 257x257
/root/autodl-tmp/project/MPNO_final/BlatzKo_1d/PNO_NN_ex35_k1/PNO_BB_L1loss.py:143: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  ksi_range = torch.range(-m_fact, m_fact).int()
tensor(0.8109)
tensor(3.3456)
>> Preprocessing completed, time elapsed:  0.74s
>> ntrain: 300, lr: 0.01, gamma: 0.6, w_d: 0.0
----------------------------------------------------------------------------------------------------
>> epoch [   1/3000], runtime: 45.17s, train loss: 2.4662e-04, valid loss: 1.4447e-04 , test loss: 6.9116e-03
>> epoch [   2/3000], runtime:  45.13s, train loss: 1.6334e-04 (best: 2.4662e-04/1.4447e-04)
>> epoch [   3/3000], runtime:  45.65s, train loss: 1.8795e-04 (best: 2.4662e-04/1.4447e-04)
>> epoch [   4/3000], runtime:  45.75s, train loss: 1.4678e-04 (best: 2.4662e-04/1.4447e-04)
>> epoch [   5/3000], runtime:  47.16s, train loss: 1.3851e-04 (best: 2.4662e-04/1.4447e-04)
>> epoch [   6/3000], runtime:  46.42s, train loss: 1.5494e-04 (best: 2.4662e-04/1.4447e-04)
>> epoch [   7/3000], runtime: 49.38s, train loss: 1.4131e-04, valid loss: 1.2497e-04 , test loss: 3.8478e-03
>> epoch [   8/3000], runtime: 48.45s, train loss: 1.2888e-04, valid loss: 1.2439e-04 , test loss: 2.3161e-03
>> epoch [   9/3000], runtime:  48.59s, train loss: 1.3069e-04 (best: 1.2888e-04/1.2439e-04)
>> epoch [  10/3000], runtime: 48.61s, train loss: 1.0022e-04, valid loss: 1.1862e-04 , test loss: 1.2537e-03
>> epoch [  11/3000], runtime: 46.36s, train loss: 6.2957e-05, valid loss: 3.5634e-05 , test loss: 5.3637e-04
>> epoch [  12/3000], runtime: 48.31s, train loss: 4.3719e-05, valid loss: 2.3944e-05 , test loss: 5.5232e-04
>> epoch [  13/3000], runtime:  48.47s, train loss: 2.3678e-05 (best: 4.3719e-05/2.3944e-05)
>> epoch [  14/3000], runtime: 49.24s, train loss: 3.1786e-05, valid loss: 1.0957e-05 , test loss: 2.6080e-04
>> epoch [  15/3000], runtime:  49.29s, train loss: 2.3185e-05 (best: 3.1786e-05/1.0957e-05)
>> epoch [  16/3000], runtime:  48.90s, train loss: 2.7119e-05 (best: 3.1786e-05/1.0957e-05)
>> epoch [  17/3000], runtime:  48.04s, train loss: 4.4981e-05 (best: 3.1786e-05/1.0957e-05)
>> epoch [  18/3000], runtime:  42.56s, train loss: 4.1339e-05 (best: 3.1786e-05/1.0957e-05)
>> epoch [  19/3000], runtime:  42.06s, train loss: 2.5254e-05 (best: 3.1786e-05/1.0957e-05)
>> epoch [  20/3000], runtime:  41.28s, train loss: 4.8818e-05 (best: 3.1786e-05/1.0957e-05)
>> epoch [  21/3000], runtime:  40.86s, train loss: 3.1397e-05 (best: 3.1786e-05/1.0957e-05)
>> epoch [  22/3000], runtime:  41.85s, train loss: 2.6756e-05 (best: 3.1786e-05/1.0957e-05)
>> epoch [  23/3000], runtime:  40.89s, train loss: 2.0533e-05 (best: 3.1786e-05/1.0957e-05)
>> epoch [  24/3000], runtime:  40.99s, train loss: 2.5965e-05 (best: 3.1786e-05/1.0957e-05)
>> epoch [  25/3000], runtime:  41.67s, train loss: 1.5097e-05 (best: 3.1786e-05/1.0957e-05)
>> epoch [  26/3000], runtime:  42.04s, train loss: 2.2338e-05 (best: 3.1786e-05/1.0957e-05)
>> epoch [  27/3000], runtime:  41.67s, train loss: 1.9089e-05 (best: 3.1786e-05/1.0957e-05)
>> epoch [  28/3000], runtime:  41.97s, train loss: 1.2663e-05 (best: 3.1786e-05/1.0957e-05)
