0, tensor([0.0111]), fsolve flag:1, 1.1920928955078125e-07, 796
1, tensor([0.0046]), fsolve flag:5, 1.1920928955078125e-07, 791
2, tensor([0.0055]), fsolve flag:1, 1.7881393432617188e-07, 1568
3, tensor([0.1308]), fsolve flag:1, 1.1920928955078125e-07, 797
4, tensor([0.0023]), fsolve flag:1, 1.1920928955078125e-07, 1308
5, tensor([0.0039]), fsolve flag:1, 1.1920928955078125e-07, 1052
6, tensor([0.0041]), fsolve flag:5, 1.1920928955078125e-07, 1052
7, tensor([0.0090]), fsolve flag:5, 1.1920928955078125e-07, 796
8, tensor([0.0036]), fsolve flag:1, 1.1920928955078125e-07, 793
9, tensor([0.0074]), fsolve flag:1, 1.1920928955078125e-07, 1051
10, tensor([0.0036]), fsolve flag:1, 1.1920928955078125e-07, 1310
11, tensor([0.0101]), fsolve flag:1, 1.1920928955078125e-07, 1310
12, tensor([0.0033]), fsolve flag:5, 1.1920928955078125e-07, 794
13, tensor([0.0049]), fsolve flag:1, 1.1920928955078125e-07, 1568
14, tensor([0.0049]), fsolve flag:5, 1.1920928955078125e-07, 794
15, tensor([0.0089]), fsolve flag:1, 1.1920928955078125e-07, 1314
16, tensor([0.0063]), fsolve flag:1, 1.1920928955078125e-07, 1314
17, tensor([0.1127]), fsolve flag:1, 1.7881393432617188e-07, 539
18, tensor([0.0051]), fsolve flag:5, 1.1920928955078125e-07, 1308
19, tensor([0.0026]), fsolve flag:1, 5.960464477539063e-08, 1309
20, tensor([0.0043]), fsolve flag:1, 1.1920928955078125e-07, 794
21, tensor([0.7701]), fsolve flag:5, 150.25909423828125, 525
22, tensor([0.0944]), fsolve flag:1, 1.1920928955078125e-07, 1572
23, tensor([0.0074]), fsolve flag:1, 7.450580596923828e-08, 1312
24, tensor([0.0030]), fsolve flag:4, 1.1920928955078125e-07, 1828
25, tensor([0.0044]), fsolve flag:1, 1.1920928955078125e-07, 1054
26, tensor([0.0056]), fsolve flag:1, 5.960464477539063e-08, 1571
27, tensor([0.0062]), fsolve flag:5, 1.1920928955078125e-07, 1049
28, tensor([0.0089]), fsolve flag:4, 1.1920928955078125e-07, 2083
29, tensor([0.0028]), fsolve flag:1, 1.1920928955078125e-07, 1051
30, tensor([0.0052]), fsolve flag:4, 1.1920928955078125e-07, 1824
31, tensor([0.0052]), fsolve flag:1, 2.384185791015625e-07, 1310
32, tensor([0.0050]), fsolve flag:1, 1.1920928955078125e-07, 1052
33, tensor([0.0036]), fsolve flag:1, 1.1920928955078125e-07, 1310
34, tensor([0.0018]), fsolve flag:5, 1.1920928955078125e-07, 1049
35, tensor([0.0075]), fsolve flag:1, 5.960464477539063e-08, 1573
36, tensor([0.1058]), fsolve flag:1, 1.1920928955078125e-07, 1572
37, tensor([0.0047]), fsolve flag:1, 2.384185791015625e-07, 1311
