>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 12673
>> Training Mesh resolution: 257x257
/root/autodl-tmp/project/MPNO_final/BlatzKo_1d/PNO_NN_ex35_k1/PNO_BB.py:137: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  ksi_range = torch.range(-m_fact, m_fact).int()
tensor(0.8109)
tensor(3.3456)
>> Preprocessing completed, time elapsed:  0.30s
>> ntrain: 300, lr: 0.01, gamma: 0.6, w_d: 0.0
----------------------------------------------------------------------------------------------------
>> epoch [  51/3000], runtime:  2.55s, train loss: 1.2376e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  52/3000], runtime:  2.53s, train loss: 1.3496e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  53/3000], runtime:  2.53s, train loss: 1.4596e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  54/3000], runtime:  2.54s, train loss: 1.6660e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  55/3000], runtime:  2.53s, train loss: 1.8605e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  56/3000], runtime:  2.53s, train loss: 1.7703e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  57/3000], runtime:  2.53s, train loss: 1.3353e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  58/3000], runtime:  2.54s, train loss: 8.9906e-06 (best: 1.0176e-05/1.4669e-06)
>> epoch [  59/3000], runtime:  2.55s, train loss: 1.0408e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  60/3000], runtime:  2.55s, train loss: 1.0670e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  61/3000], runtime:  2.54s, train loss: 9.9089e-06 (best: 1.0176e-05/1.4669e-06)
>> epoch [  62/3000], runtime:  2.55s, train loss: 9.3131e-06 (best: 1.0176e-05/1.4669e-06)
>> epoch [  63/3000], runtime:  2.58s, train loss: 9.3565e-06 (best: 1.0176e-05/1.4669e-06)
>> epoch [  64/3000], runtime:  2.54s, train loss: 1.1470e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  65/3000], runtime:  2.54s, train loss: 1.4153e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  66/3000], runtime:  2.54s, train loss: 1.3618e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  67/3000], runtime:  2.56s, train loss: 1.0715e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  68/3000], runtime:  2.57s, train loss: 1.2343e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  69/3000], runtime:  2.57s, train loss: 1.2351e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  70/3000], runtime:  2.56s, train loss: 1.5576e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  71/3000], runtime:  2.56s, train loss: 1.3913e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  72/3000], runtime:  2.54s, train loss: 1.1505e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  73/3000], runtime:  2.56s, train loss: 1.1787e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  74/3000], runtime:  2.55s, train loss: 1.2051e-05 (best: 1.0176e-05/1.4669e-06)
>> epoch [  75/3000], runtime:  2.54s, train loss: 9.1611e-06 (best: 1.0176e-05/1.4669e-06)
>> epoch [  76/3000], runtime:  2.53s, train loss: 8.5873e-06 (best: 1.0176e-05/1.4669e-06)
>> epoch [  77/3000], runtime: 2.54s, train loss: 7.8897e-06, valid loss: 1.2014e-06 , test loss: 1.3598e-04
>> epoch [  78/3000], runtime:  2.57s, train loss: 6.1531e-06 (best: 7.8897e-06/1.2014e-06)
>> epoch [  79/3000], runtime:  2.55s, train loss: 7.7677e-06 (best: 7.8897e-06/1.2014e-06)
>> epoch [  80/3000], runtime:  2.53s, train loss: 6.6775e-06 (best: 7.8897e-06/1.2014e-06)
>> epoch [  81/3000], runtime:  2.53s, train loss: 7.2060e-06 (best: 7.8897e-06/1.2014e-06)
>> epoch [  82/3000], runtime:  2.54s, train loss: 8.3761e-06 (best: 7.8897e-06/1.2014e-06)
>> epoch [  83/3000], runtime: 2.56s, train loss: 7.0535e-06, valid loss: 1.0691e-06 , test loss: 1.4123e-04
>> epoch [  84/3000], runtime:  2.53s, train loss: 6.8247e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [  85/3000], runtime:  2.53s, train loss: 8.3784e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [  86/3000], runtime:  2.54s, train loss: 8.9446e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [  87/3000], runtime:  2.56s, train loss: 8.7114e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [  88/3000], runtime:  2.54s, train loss: 7.3276e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [  89/3000], runtime:  2.53s, train loss: 7.5009e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [  90/3000], runtime:  2.53s, train loss: 1.0950e-05 (best: 7.0535e-06/1.0691e-06)
>> epoch [  91/3000], runtime:  2.53s, train loss: 7.9583e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [  92/3000], runtime:  2.54s, train loss: 6.8547e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [  93/3000], runtime:  2.57s, train loss: 7.0030e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [  94/3000], runtime:  2.57s, train loss: 8.4452e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [  95/3000], runtime:  2.56s, train loss: 8.2344e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [  96/3000], runtime:  2.54s, train loss: 7.8520e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [  97/3000], runtime:  2.56s, train loss: 1.1263e-05 (best: 7.0535e-06/1.0691e-06)
>> epoch [  98/3000], runtime:  2.54s, train loss: 7.2935e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [  99/3000], runtime:  2.53s, train loss: 8.3996e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 100/3000], runtime:  2.54s, train loss: 9.8567e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 101/3000], runtime:  2.56s, train loss: 1.0796e-05 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 102/3000], runtime:  2.53s, train loss: 6.1205e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 103/3000], runtime:  2.53s, train loss: 6.6690e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 104/3000], runtime:  2.53s, train loss: 7.0787e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 105/3000], runtime:  2.53s, train loss: 7.3265e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 106/3000], runtime:  2.54s, train loss: 9.3982e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 107/3000], runtime:  2.53s, train loss: 8.2653e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 108/3000], runtime:  2.55s, train loss: 6.6350e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 109/3000], runtime:  2.54s, train loss: 8.8294e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 110/3000], runtime:  2.53s, train loss: 1.0047e-05 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 111/3000], runtime:  2.53s, train loss: 8.0791e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 112/3000], runtime:  2.54s, train loss: 5.7768e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 113/3000], runtime:  2.54s, train loss: 6.9786e-06 (best: 7.0535e-06/1.0691e-06)
>> epoch [ 114/3000], runtime: 2.54s, train loss: 6.1822e-06, valid loss: 1.0071e-06 , test loss: 1.2464e-04
>> epoch [ 115/3000], runtime:  2.53s, train loss: 6.3884e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 116/3000], runtime:  2.56s, train loss: 8.2565e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 117/3000], runtime:  2.56s, train loss: 8.1765e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 118/3000], runtime:  2.56s, train loss: 1.0489e-05 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 119/3000], runtime:  2.55s, train loss: 9.1608e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 120/3000], runtime:  2.55s, train loss: 7.4762e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 121/3000], runtime:  2.53s, train loss: 6.5230e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 122/3000], runtime:  2.53s, train loss: 6.3985e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 123/3000], runtime:  2.54s, train loss: 5.7288e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 124/3000], runtime:  2.54s, train loss: 6.5239e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 125/3000], runtime:  2.53s, train loss: 6.8232e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 126/3000], runtime:  2.53s, train loss: 7.4513e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 127/3000], runtime:  2.54s, train loss: 6.0536e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 128/3000], runtime:  2.55s, train loss: 7.4441e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 129/3000], runtime:  2.54s, train loss: 1.1321e-05 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 130/3000], runtime:  2.54s, train loss: 8.4816e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 131/3000], runtime:  2.54s, train loss: 6.6995e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 132/3000], runtime:  2.57s, train loss: 7.0168e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 133/3000], runtime:  2.57s, train loss: 8.2606e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 134/3000], runtime:  2.56s, train loss: 5.8854e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 135/3000], runtime:  2.55s, train loss: 6.6538e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 136/3000], runtime:  2.54s, train loss: 6.4699e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 137/3000], runtime:  2.54s, train loss: 6.0310e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 138/3000], runtime:  2.55s, train loss: 5.6837e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 139/3000], runtime:  2.58s, train loss: 6.5843e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 140/3000], runtime:  2.56s, train loss: 7.5790e-06 (best: 6.1822e-06/1.0071e-06)
>> epoch [ 141/3000], runtime:  2.53s, train loss: 6.6432e-06 (best: 6.1822e-06/1.0071e-06)
