file_index,file_name,timestep,dominant_mode,estimated_wave_number
2,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file2.mat,25,"(2,0)",2.000
2,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file2.mat,26,"(2,0)",2.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,0,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,1,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,2,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,3,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,4,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,5,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,6,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,7,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,8,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,9,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,10,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,11,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,12,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,13,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,14,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,15,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,16,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,17,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,18,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,19,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,20,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,21,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,22,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,23,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,24,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,25,"(3,0)",3.000
3,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file3.mat,26,"(3,0)",3.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,0,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,1,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,2,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,3,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,4,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,5,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,6,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,7,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,8,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,9,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,10,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,11,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,12,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,13,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,14,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,15,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,16,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,17,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,18,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,19,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,20,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,21,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,22,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,23,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,24,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,25,"(4,0)",4.000
4,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file4.mat,26,"(4,0)",4.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,0,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,1,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,2,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,3,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,4,"(5,0)",5.000
