PID: 32250
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 12673
>> Training Mesh resolution: 49x49
>> grid: torch.Size([2401, 2]), edge_index: torch.Size([2, 410273]), edge_attr: torch.Size([410273, 2])
>> Preprocessing completed, time elapsed:  64.63s
>> ntrain: 80, lr: 0.01, gamma: 0.5, w_d: 0.0001
----------------------------------------------------------------------------------------------------
>> epoch [ 55/500], runtime:  0.76s, train err: 8.4332e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 56/500], runtime:  0.76s, train err: 8.4162e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 57/500], runtime:  0.77s, train err: 8.5922e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 58/500], runtime:  0.76s, train err: 8.9147e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 59/500], runtime:  0.75s, train err: 8.5782e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 60/500], runtime:  0.77s, train err: 8.4481e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 61/500], runtime:  0.76s, train err: 8.3639e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 62/500], runtime:  0.75s, train err: 8.3363e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 63/500], runtime:  0.76s, train err: 8.6585e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 64/500], runtime:  0.76s, train err: 8.3989e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 65/500], runtime:  0.76s, train err: 9.0207e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 66/500], runtime:  0.77s, train err: 8.4267e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 67/500], runtime:  0.76s, train err: 8.4579e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 68/500], runtime:  0.77s, train err: 8.3857e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 69/500], runtime:  0.75s, train err: 8.7019e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 70/500], runtime:  0.77s, train err: 9.0215e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 71/500], runtime:  0.76s, train err: 8.5609e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 72/500], runtime:  0.79s, train err: 8.3756e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 73/500], runtime:  0.76s, train err: 8.5207e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 74/500], runtime:  0.76s, train err: 8.6793e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 75/500], runtime:  0.75s, train err: 8.6843e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 76/500], runtime:  0.75s, train err: 8.7939e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 77/500], runtime:  0.76s, train err: 8.6655e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 78/500], runtime:  0.75s, train err: 8.3426e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 79/500], runtime:  0.75s, train err: 8.6806e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 80/500], runtime:  0.77s, train err: 8.4954e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 81/500], runtime:  0.77s, train err: 8.6408e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 82/500], runtime:  0.76s, train err: 8.4849e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 83/500], runtime:  0.76s, train err: 8.5258e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 84/500], runtime:  0.77s, train err: 8.4646e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 85/500], runtime:  0.82s, train err: 9.1590e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 86/500], runtime:  0.80s, train err: 8.5172e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 87/500], runtime:  0.78s, train err: 8.5229e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 88/500], runtime:  0.77s, train err: 8.4388e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 89/500], runtime:  0.77s, train err: 8.6519e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 90/500], runtime:  0.77s, train err: 8.3897e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 91/500], runtime:  0.76s, train err: 8.6387e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 92/500], runtime:  0.76s, train err: 8.5247e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 93/500], runtime:  0.77s, train err: 8.7453e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 94/500], runtime:  0.77s, train err: 8.7261e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 95/500], runtime:  0.76s, train err: 8.6743e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 96/500], runtime:  0.80s, train err: 8.4544e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 97/500], runtime:  0.80s, train err: 8.5058e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 98/500], runtime:  0.78s, train err: 8.5733e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 99/500], runtime:  0.75s, train err: 8.7256e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [100/500], runtime:  0.78s, train err: 8.5430e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [101/500], runtime:  0.76s, train err: 8.3489e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [102/500], runtime: 0.75s, train err: 8.3242e-03, valid err: 8.2090e-03 , test err: 8.2651e-03
>> epoch [103/500], runtime:  0.76s, train err: 8.2592e-03 (best: 8.3242e-03/8.2090e-03)
>> epoch [104/500], runtime:  0.76s, train err: 8.2532e-03 (best: 8.3242e-03/8.2090e-03)
>> epoch [105/500], runtime:  0.77s, train err: 8.4020e-03 (best: 8.3242e-03/8.2090e-03)
>> epoch [106/500], runtime:  0.78s, train err: 8.3156e-03 (best: 8.3242e-03/8.2090e-03)
>> epoch [107/500], runtime:  0.77s, train err: 8.4058e-03 (best: 8.3242e-03/8.2090e-03)
>> epoch [108/500], runtime:  0.76s, train err: 8.2904e-03 (best: 8.3242e-03/8.2090e-03)
>> epoch [109/500], runtime:  0.76s, train err: 8.3154e-03 (best: 8.3242e-03/8.2090e-03)
>> epoch [110/500], runtime:  0.77s, train err: 8.3272e-03 (best: 8.3242e-03/8.2090e-03)
>> epoch [111/500], runtime:  0.77s, train err: 8.3070e-03 (best: 8.3242e-03/8.2090e-03)
>> epoch [112/500], runtime: 0.76s, train err: 8.2511e-03, valid err: 8.1664e-03 , test err: 8.2426e-03
>> epoch [113/500], runtime:  0.75s, train err: 8.5631e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [114/500], runtime:  0.79s, train err: 8.3415e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [115/500], runtime:  0.75s, train err: 8.4289e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [116/500], runtime:  0.76s, train err: 8.4171e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [117/500], runtime:  0.77s, train err: 8.5981e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [118/500], runtime:  0.74s, train err: 8.6617e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [119/500], runtime:  0.74s, train err: 8.3095e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [120/500], runtime:  0.74s, train err: 8.4074e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [121/500], runtime:  0.74s, train err: 8.4850e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [122/500], runtime:  0.75s, train err: 8.3540e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [123/500], runtime:  0.74s, train err: 8.2984e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [124/500], runtime:  0.73s, train err: 8.3588e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [125/500], runtime:  0.79s, train err: 8.5971e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [126/500], runtime:  0.79s, train err: 8.3431e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [127/500], runtime:  0.82s, train err: 8.5048e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [128/500], runtime:  0.75s, train err: 8.2855e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [129/500], runtime:  0.75s, train err: 8.4364e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [130/500], runtime:  0.75s, train err: 8.3211e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [131/500], runtime:  0.75s, train err: 8.3371e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [132/500], runtime:  0.74s, train err: 8.3687e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [133/500], runtime:  0.74s, train err: 8.2739e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [134/500], runtime:  0.77s, train err: 8.2657e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [135/500], runtime:  0.77s, train err: 8.3449e-03 (best: 8.2511e-03/8.1664e-03)
