PID: 33715
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 12673
>> Training Mesh resolution: 49x49
>> grid: torch.Size([2401, 2]), edge_index: torch.Size([2, 410273]), edge_attr: torch.Size([410273, 2])
>> Preprocessing completed, time elapsed:  62.64s
>> ntrain: 80, lr: 0.005, gamma: 0.5, w_d: 0.0001
----------------------------------------------------------------------------------------------------
>> epoch [ 55/500], runtime:  1.26s, train err: 8.3864e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 56/500], runtime:  1.30s, train err: 8.3672e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 57/500], runtime:  1.27s, train err: 8.3859e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 58/500], runtime: 1.24s, train err: 8.5359e-03, valid err: 8.1758e-03 , test err: 8.2510e-03
>> epoch [ 59/500], runtime:  1.23s, train err: 8.5055e-03 (best: 8.5359e-03/8.1758e-03)
>> epoch [ 60/500], runtime:  1.26s, train err: 8.4680e-03 (best: 8.5359e-03/8.1758e-03)
>> epoch [ 61/500], runtime: 1.24s, train err: 8.4852e-03, valid err: 8.1683e-03 , test err: 8.2493e-03
>> epoch [ 62/500], runtime:  1.23s, train err: 8.5144e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 63/500], runtime:  1.22s, train err: 8.3459e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 64/500], runtime:  1.23s, train err: 8.4755e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 65/500], runtime:  1.23s, train err: 8.4889e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 66/500], runtime:  1.18s, train err: 8.6182e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 67/500], runtime:  1.24s, train err: 8.2907e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 68/500], runtime:  1.22s, train err: 8.5219e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 69/500], runtime:  1.23s, train err: 8.4401e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 70/500], runtime:  1.27s, train err: 8.4863e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 71/500], runtime:  1.22s, train err: 8.6092e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 72/500], runtime:  1.23s, train err: 8.5060e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 73/500], runtime:  1.22s, train err: 8.6926e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 74/500], runtime:  1.23s, train err: 8.4782e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 75/500], runtime:  1.23s, train err: 8.4140e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 76/500], runtime:  1.20s, train err: 8.4511e-03 (best: 8.4852e-03/8.1683e-03)
>> epoch [ 77/500], runtime: 1.25s, train err: 8.4027e-03, valid err: 8.1665e-03 , test err: 8.2446e-03
>> epoch [ 78/500], runtime:  1.25s, train err: 8.6171e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 79/500], runtime:  1.23s, train err: 8.5952e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 80/500], runtime:  1.20s, train err: 8.4453e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 81/500], runtime:  1.25s, train err: 8.5538e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 82/500], runtime:  1.25s, train err: 8.4867e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 83/500], runtime:  1.19s, train err: 8.7527e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 84/500], runtime:  1.20s, train err: 8.4758e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 85/500], runtime:  1.16s, train err: 8.6653e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 86/500], runtime:  1.18s, train err: 8.4335e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 87/500], runtime:  1.19s, train err: 8.4394e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 88/500], runtime:  1.21s, train err: 8.6036e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 89/500], runtime:  1.24s, train err: 8.3935e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 90/500], runtime:  1.26s, train err: 8.3636e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 91/500], runtime:  1.23s, train err: 8.2818e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 92/500], runtime:  1.29s, train err: 8.4111e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 93/500], runtime:  1.26s, train err: 8.4662e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 94/500], runtime:  1.25s, train err: 8.4056e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 95/500], runtime:  1.24s, train err: 8.7410e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 96/500], runtime:  1.24s, train err: 8.5483e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 97/500], runtime:  1.22s, train err: 8.8254e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 98/500], runtime:  1.26s, train err: 8.4550e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [ 99/500], runtime:  1.21s, train err: 8.5683e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [100/500], runtime:  1.21s, train err: 8.3404e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [101/500], runtime:  1.23s, train err: 8.2974e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [102/500], runtime:  1.19s, train err: 8.2561e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [103/500], runtime:  1.27s, train err: 8.2842e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [104/500], runtime:  1.20s, train err: 8.4028e-03 (best: 8.4027e-03/8.1665e-03)
>> epoch [105/500], runtime: 1.20s, train err: 8.3056e-03, valid err: 8.1651e-03 , test err: 8.2420e-03
>> epoch [106/500], runtime:  1.23s, train err: 8.4525e-03 (best: 8.3056e-03/8.1651e-03)
>> epoch [107/500], runtime: 1.20s, train err: 8.2269e-03, valid err: 8.1602e-03 , test err: 8.2272e-03
>> epoch [108/500], runtime:  1.22s, train err: 8.3012e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [109/500], runtime:  1.25s, train err: 8.6040e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [110/500], runtime:  1.24s, train err: 8.3618e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [111/500], runtime:  1.19s, train err: 8.5532e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [112/500], runtime:  1.24s, train err: 8.4495e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [113/500], runtime:  1.23s, train err: 8.4665e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [114/500], runtime:  1.23s, train err: 8.2318e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [115/500], runtime:  1.24s, train err: 8.2578e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [116/500], runtime:  1.25s, train err: 8.2522e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [117/500], runtime:  1.26s, train err: 8.2525e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [118/500], runtime:  1.24s, train err: 8.3105e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [119/500], runtime:  1.24s, train err: 8.2990e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [120/500], runtime:  1.22s, train err: 8.2799e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [121/500], runtime:  1.23s, train err: 8.3759e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [122/500], runtime:  1.22s, train err: 8.3113e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [123/500], runtime:  1.22s, train err: 8.3351e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [124/500], runtime:  1.23s, train err: 8.2110e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [125/500], runtime:  1.25s, train err: 8.4842e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [126/500], runtime:  1.23s, train err: 8.4626e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [127/500], runtime:  1.25s, train err: 8.2654e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [128/500], runtime:  1.25s, train err: 8.3366e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [129/500], runtime:  1.22s, train err: 8.4179e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [130/500], runtime:  1.23s, train err: 8.2891e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [131/500], runtime:  1.21s, train err: 8.1981e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [132/500], runtime:  1.23s, train err: 8.2045e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [133/500], runtime:  1.25s, train err: 8.3234e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [134/500], runtime:  1.25s, train err: 8.3415e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [135/500], runtime:  1.25s, train err: 8.2732e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [136/500], runtime:  1.25s, train err: 8.2085e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [137/500], runtime:  1.25s, train err: 8.2974e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [138/500], runtime:  1.22s, train err: 8.3200e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [139/500], runtime:  1.23s, train err: 8.2417e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [140/500], runtime:  1.24s, train err: 8.3659e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [141/500], runtime:  1.24s, train err: 8.4169e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [142/500], runtime:  1.22s, train err: 8.3356e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [143/500], runtime:  1.22s, train err: 8.2797e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [144/500], runtime:  1.25s, train err: 8.4358e-03 (best: 8.2269e-03/8.1602e-03)
>> epoch [145/500], runtime: 1.24s, train err: 8.2081e-03, valid err: 8.1272e-03 , test err: 8.2242e-03
>> epoch [146/500], runtime:  1.25s, train err: 8.2804e-03 (best: 8.2081e-03/8.1272e-03)
