PID: 10662
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 49921
>> Training Mesh resolution: 49x49
>> grid: torch.Size([2401, 2]), edge_index: torch.Size([2, 410273]), edge_attr: torch.Size([410273, 2])
>> Preprocessing completed, time elapsed:  63.85s
>> ntrain: 80, lr: 0.01, gamma: 0.5, w_d: 0.0
----------------------------------------------------------------------------------------------------
>> epoch [ 55/500], runtime:  1.41s, train err: 8.3810e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 56/500], runtime:  1.39s, train err: 8.2793e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 57/500], runtime:  1.38s, train err: 8.2354e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 58/500], runtime:  1.39s, train err: 8.3339e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 59/500], runtime:  1.42s, train err: 8.2817e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 60/500], runtime:  1.41s, train err: 8.2615e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 61/500], runtime:  1.41s, train err: 8.2493e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 62/500], runtime:  1.41s, train err: 8.2526e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 63/500], runtime:  1.37s, train err: 8.2973e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 64/500], runtime:  1.37s, train err: 8.3273e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 65/500], runtime:  1.39s, train err: 8.2654e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 66/500], runtime:  1.44s, train err: 8.2114e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 67/500], runtime:  1.40s, train err: 8.4090e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 68/500], runtime:  1.40s, train err: 8.3682e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 69/500], runtime:  1.39s, train err: 8.2630e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 70/500], runtime:  1.38s, train err: 8.3863e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 71/500], runtime:  1.37s, train err: 8.3539e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 72/500], runtime:  1.38s, train err: 8.2271e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 73/500], runtime:  1.38s, train err: 8.2813e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 74/500], runtime:  1.40s, train err: 8.3274e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 75/500], runtime:  1.38s, train err: 8.3281e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 76/500], runtime:  1.38s, train err: 8.3029e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 77/500], runtime:  1.39s, train err: 8.2186e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 78/500], runtime:  1.38s, train err: 8.6364e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 79/500], runtime:  1.38s, train err: 8.4916e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 80/500], runtime:  1.37s, train err: 8.2323e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 81/500], runtime:  1.38s, train err: 8.3621e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 82/500], runtime:  1.38s, train err: 8.4530e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 83/500], runtime:  1.39s, train err: 8.3553e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 84/500], runtime:  1.39s, train err: 8.3040e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 85/500], runtime:  1.37s, train err: 8.3097e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 86/500], runtime:  1.37s, train err: 8.2438e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 87/500], runtime:  1.38s, train err: 8.2845e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 88/500], runtime:  1.38s, train err: 8.3258e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 89/500], runtime:  1.38s, train err: 8.3706e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 90/500], runtime:  1.36s, train err: 8.5220e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 91/500], runtime:  1.37s, train err: 8.3510e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 92/500], runtime:  1.36s, train err: 8.4211e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 93/500], runtime:  1.37s, train err: 8.2482e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 94/500], runtime:  1.39s, train err: 8.3501e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 95/500], runtime:  1.38s, train err: 8.3170e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 96/500], runtime:  1.41s, train err: 8.3548e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 97/500], runtime:  1.39s, train err: 8.2428e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 98/500], runtime:  1.41s, train err: 8.2674e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [ 99/500], runtime:  1.42s, train err: 8.3105e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [100/500], runtime:  1.38s, train err: 8.2533e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [101/500], runtime:  1.38s, train err: 8.1874e-03 (best: 8.2265e-03/8.1461e-03)
>> epoch [102/500], runtime: 1.39s, train err: 8.1615e-03, valid err: 8.1217e-03 , test err: 8.2288e-03
>> epoch [103/500], runtime:  1.39s, train err: 8.1926e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [104/500], runtime:  1.38s, train err: 8.2162e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [105/500], runtime:  1.37s, train err: 8.2007e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [106/500], runtime:  1.39s, train err: 8.1918e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [107/500], runtime:  1.37s, train err: 8.2005e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [108/500], runtime:  1.35s, train err: 8.1984e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [109/500], runtime:  1.34s, train err: 8.1783e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [110/500], runtime:  1.34s, train err: 8.2575e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [111/500], runtime:  1.36s, train err: 8.2231e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [112/500], runtime:  1.36s, train err: 8.2057e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [113/500], runtime:  1.36s, train err: 8.2719e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [114/500], runtime:  1.37s, train err: 8.2290e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [115/500], runtime:  1.38s, train err: 8.1841e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [116/500], runtime:  1.38s, train err: 8.2068e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [117/500], runtime:  1.40s, train err: 8.2022e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [118/500], runtime:  1.38s, train err: 8.2770e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [119/500], runtime:  1.40s, train err: 8.1694e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [120/500], runtime:  1.42s, train err: 8.2270e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [121/500], runtime:  1.41s, train err: 8.1858e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [122/500], runtime:  1.43s, train err: 8.2476e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [123/500], runtime:  1.43s, train err: 8.1806e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [124/500], runtime:  1.37s, train err: 8.1973e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [125/500], runtime:  1.39s, train err: 8.2234e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [126/500], runtime:  1.42s, train err: 8.2136e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [127/500], runtime:  1.40s, train err: 8.1958e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [128/500], runtime:  1.44s, train err: 8.3468e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [129/500], runtime:  1.41s, train err: 8.2123e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [130/500], runtime:  1.42s, train err: 8.1785e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [131/500], runtime:  1.43s, train err: 8.2084e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [132/500], runtime:  1.40s, train err: 8.3156e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [133/500], runtime:  1.39s, train err: 8.3117e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [134/500], runtime:  1.41s, train err: 8.2155e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [135/500], runtime:  1.41s, train err: 8.1776e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [136/500], runtime:  1.41s, train err: 8.1796e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [137/500], runtime:  1.41s, train err: 8.2399e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [138/500], runtime:  1.42s, train err: 8.1884e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [139/500], runtime:  1.40s, train err: 8.1610e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [140/500], runtime:  1.42s, train err: 8.1679e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [141/500], runtime:  1.42s, train err: 8.1898e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [142/500], runtime:  1.46s, train err: 8.2011e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [143/500], runtime:  1.44s, train err: 8.2163e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [144/500], runtime:  1.43s, train err: 8.1734e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [145/500], runtime:  1.45s, train err: 8.1686e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [146/500], runtime:  1.40s, train err: 8.2292e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [147/500], runtime:  1.40s, train err: 8.2076e-03 (best: 8.1615e-03/8.1217e-03)
