300, [0.01], [0.99, 0.998], 128_5, 0.00390625: 1.3703645906003116e-06,3.240317193036134e-07,3.47061041996971e-07,117
300, [0.01], [0.995, 0.998], 128_5, 0.00390625: 8.157379419298447e-10,6.666471557323439e-11,4.2227285022771647e-10,1745
300, [0.01], [0.995, 0.998], 32_4, 0.00390625: 1.402236666304375e-08,1.2341977908300034e-12,9.891341072184842e-10,69
300, [0.01], [0.995, 0.998], 32_4, 0.00390625: 4.381027819044374e-08,8.654723130962274e-11,1.3741682415140275e-06,93
300, [0.01], [0.995, 0.998], 32_4, 0.00390625: 2.0156559443628887e-06,3.035546399324344e-07,9.14770698653384e-05,277
300, [0.01], [0.995, 0.998], 128_5, 0.00390625: 2.3361257426680265e-06,3.0134201346438377e-07,9.113285951794963e-05,268
300, [0.01], [0.995, 0.998], 32_2, 0.00390625: 2.1930287054677784e-06,3.8877629821406024e-07,0.00010543879947549259,790
300, [0.01], [0.995, 0.998], 16_2, 0.00390625: 2.0783525804485796e-06,3.657892771240661e-07,0.00010226507317564565,666
300, [0.01], [0.995, 0.998], 16_2, 0.00390625: 2.0783525804485796e-06,3.657892771240661e-07,0.00010226507317564565,666
