PID: 5331
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 12673
>> Training Mesh resolution: 49x49
>> grid: torch.Size([2401, 2]), edge_index: torch.Size([2, 410273]), edge_attr: torch.Size([410273, 2])
>> Preprocessing completed, time elapsed:  61.72s
>> ntrain: 80, lr: 0.01, gamma: 0.5, w_d: 0.0
----------------------------------------------------------------------------------------------------
>> epoch [ 55/500], runtime: 0.78s, train err: 8.3747e-03, valid err: 8.1727e-03 , test err: 8.2752e-03
>> epoch [ 56/500], runtime:  0.77s, train err: 8.2831e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 57/500], runtime:  0.77s, train err: 8.3925e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 58/500], runtime:  0.79s, train err: 8.3513e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 59/500], runtime:  0.78s, train err: 8.3564e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 60/500], runtime:  0.78s, train err: 8.3380e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 61/500], runtime:  0.78s, train err: 8.4362e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 62/500], runtime:  0.77s, train err: 8.3540e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 63/500], runtime:  0.78s, train err: 8.3166e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 64/500], runtime:  0.77s, train err: 8.2662e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 65/500], runtime:  0.77s, train err: 8.5069e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 66/500], runtime:  0.77s, train err: 8.3198e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 67/500], runtime:  0.77s, train err: 8.3039e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 68/500], runtime:  0.79s, train err: 8.4873e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 69/500], runtime:  0.78s, train err: 8.2890e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 70/500], runtime:  0.80s, train err: 8.5385e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 71/500], runtime:  0.78s, train err: 8.2729e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 72/500], runtime:  0.76s, train err: 8.3007e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 73/500], runtime:  0.78s, train err: 8.2705e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 74/500], runtime:  0.78s, train err: 8.3113e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 75/500], runtime:  0.78s, train err: 8.3658e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 76/500], runtime:  0.77s, train err: 8.3732e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 77/500], runtime:  0.76s, train err: 8.4472e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 78/500], runtime:  0.77s, train err: 8.4819e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 79/500], runtime:  0.77s, train err: 8.3355e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 80/500], runtime:  0.77s, train err: 8.3280e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 81/500], runtime:  0.77s, train err: 8.3232e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 82/500], runtime:  0.77s, train err: 8.4817e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 83/500], runtime:  0.78s, train err: 8.3022e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 84/500], runtime:  0.79s, train err: 8.2920e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 85/500], runtime:  0.78s, train err: 8.3097e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 86/500], runtime:  0.78s, train err: 8.3072e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 87/500], runtime:  0.80s, train err: 8.2894e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 88/500], runtime:  0.77s, train err: 8.2846e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 89/500], runtime:  0.78s, train err: 8.2585e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 90/500], runtime:  0.79s, train err: 8.3031e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 91/500], runtime:  0.77s, train err: 8.6970e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 92/500], runtime:  0.77s, train err: 8.6066e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 93/500], runtime:  0.76s, train err: 8.2909e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 94/500], runtime:  0.80s, train err: 8.3122e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 95/500], runtime:  0.78s, train err: 8.5861e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 96/500], runtime:  0.78s, train err: 8.2809e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 97/500], runtime:  0.78s, train err: 8.3459e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 98/500], runtime: 0.79s, train err: 8.2902e-03, valid err: 8.1329e-03 , test err: 8.2320e-03
>> epoch [ 99/500], runtime:  0.79s, train err: 8.5214e-03 (best: 8.2902e-03/8.1329e-03)
>> epoch [100/500], runtime:  0.80s, train err: 1.0220e-02 (best: 8.2902e-03/8.1329e-03)
>> epoch [101/500], runtime:  0.79s, train err: 8.2179e-03 (best: 8.2902e-03/8.1329e-03)
>> epoch [102/500], runtime:  0.78s, train err: 8.1866e-03 (best: 8.2902e-03/8.1329e-03)
>> epoch [103/500], runtime:  0.76s, train err: 8.2154e-03 (best: 8.2902e-03/8.1329e-03)
>> epoch [104/500], runtime:  0.77s, train err: 8.2247e-03 (best: 8.2902e-03/8.1329e-03)
>> epoch [105/500], runtime:  0.78s, train err: 8.1893e-03 (best: 8.2902e-03/8.1329e-03)
>> epoch [106/500], runtime:  0.77s, train err: 8.2153e-03 (best: 8.2902e-03/8.1329e-03)
>> epoch [107/500], runtime:  0.77s, train err: 8.2163e-03 (best: 8.2902e-03/8.1329e-03)
>> epoch [108/500], runtime:  0.77s, train err: 8.2115e-03 (best: 8.2902e-03/8.1329e-03)
>> epoch [109/500], runtime:  0.78s, train err: 8.1835e-03 (best: 8.2902e-03/8.1329e-03)
>> epoch [110/500], runtime:  0.78s, train err: 8.1601e-03 (best: 8.2902e-03/8.1329e-03)
>> epoch [111/500], runtime:  0.77s, train err: 8.2506e-03 (best: 8.2902e-03/8.1329e-03)
>> epoch [112/500], runtime: 0.77s, train err: 8.1968e-03, valid err: 8.1266e-03 , test err: 8.2123e-03
>> epoch [113/500], runtime:  0.78s, train err: 8.2433e-03 (best: 8.1968e-03/8.1266e-03)
>> epoch [114/500], runtime:  0.76s, train err: 8.2148e-03 (best: 8.1968e-03/8.1266e-03)
>> epoch [115/500], runtime:  0.78s, train err: 8.1514e-03 (best: 8.1968e-03/8.1266e-03)
>> epoch [116/500], runtime: 0.78s, train err: 8.1734e-03, valid err: 8.1160e-03 , test err: 8.2039e-03
>> epoch [117/500], runtime:  0.77s, train err: 8.1948e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [118/500], runtime:  0.80s, train err: 8.2205e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [119/500], runtime:  0.76s, train err: 8.2376e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [120/500], runtime:  0.78s, train err: 8.1771e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [121/500], runtime:  0.79s, train err: 8.2010e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [122/500], runtime:  0.78s, train err: 8.1936e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [123/500], runtime:  0.80s, train err: 8.1565e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [124/500], runtime:  0.78s, train err: 8.1764e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [125/500], runtime:  0.76s, train err: 8.1920e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [126/500], runtime:  0.78s, train err: 8.2372e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [127/500], runtime:  0.78s, train err: 8.1975e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [128/500], runtime:  0.79s, train err: 8.1678e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [129/500], runtime:  0.78s, train err: 8.2311e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [130/500], runtime:  0.78s, train err: 8.2892e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [131/500], runtime:  0.77s, train err: 8.2456e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [132/500], runtime:  0.79s, train err: 8.2479e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [133/500], runtime:  0.77s, train err: 8.1761e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [134/500], runtime:  0.76s, train err: 8.1945e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [135/500], runtime:  0.78s, train err: 8.1908e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [136/500], runtime:  0.77s, train err: 8.2945e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [137/500], runtime:  0.76s, train err: 8.1996e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [138/500], runtime:  0.77s, train err: 8.1831e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [139/500], runtime:  0.75s, train err: 8.2893e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [140/500], runtime:  0.77s, train err: 8.1564e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [141/500], runtime:  0.77s, train err: 8.2430e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [142/500], runtime:  0.77s, train err: 8.1743e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [143/500], runtime:  0.76s, train err: 8.1727e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [144/500], runtime:  0.76s, train err: 8.1593e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [145/500], runtime:  0.75s, train err: 8.1694e-03 (best: 8.1734e-03/8.1160e-03)
>> epoch [146/500], runtime: 0.75s, train err: 8.1667e-03, valid err: 8.0863e-03 , test err: 8.1777e-03
>> epoch [147/500], runtime: 0.73s, train err: 8.1364e-03, valid err: 8.0602e-03 , test err: 8.1608e-03
>> epoch [148/500], runtime:  0.74s, train err: 8.1577e-03 (best: 8.1364e-03/8.0602e-03)
>> epoch [149/500], runtime:  0.74s, train err: 8.2093e-03 (best: 8.1364e-03/8.0602e-03)
>> epoch [150/500], runtime:  0.73s, train err: 8.2878e-03 (best: 8.1364e-03/8.0602e-03)
>> epoch [151/500], runtime:  0.73s, train err: 8.1449e-03 (best: 8.1364e-03/8.0602e-03)
>> epoch [152/500], runtime:  0.73s, train err: 8.1245e-03 (best: 8.1364e-03/8.0602e-03)
>> epoch [153/500], runtime:  0.73s, train err: 8.1259e-03 (best: 8.1364e-03/8.0602e-03)
>> epoch [154/500], runtime: 0.74s, train err: 8.1160e-03, valid err: 8.0594e-03 , test err: 8.1604e-03
>> epoch [155/500], runtime:  0.74s, train err: 8.1241e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [156/500], runtime:  0.74s, train err: 8.1415e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [157/500], runtime:  0.75s, train err: 8.1299e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [158/500], runtime:  0.74s, train err: 8.1393e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [159/500], runtime:  0.74s, train err: 8.1353e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [160/500], runtime:  0.76s, train err: 8.1343e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [161/500], runtime:  0.75s, train err: 8.1867e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [162/500], runtime:  0.78s, train err: 8.1632e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [163/500], runtime:  0.77s, train err: 8.1213e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [164/500], runtime:  0.77s, train err: 8.1328e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [165/500], runtime:  0.77s, train err: 8.1403e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [166/500], runtime:  0.77s, train err: 8.1272e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [167/500], runtime:  0.77s, train err: 8.0967e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [168/500], runtime:  0.78s, train err: 8.1392e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [169/500], runtime:  0.75s, train err: 8.1706e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [170/500], runtime:  0.76s, train err: 8.2123e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [171/500], runtime:  0.76s, train err: 8.1183e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [172/500], runtime:  0.77s, train err: 8.1319e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [173/500], runtime:  0.76s, train err: 8.1326e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [174/500], runtime:  0.76s, train err: 8.1169e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [175/500], runtime:  0.76s, train err: 8.1790e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [176/500], runtime:  0.76s, train err: 8.1432e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [177/500], runtime:  0.77s, train err: 8.1429e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [178/500], runtime:  0.76s, train err: 8.1447e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [179/500], runtime:  0.75s, train err: 8.1275e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [180/500], runtime:  0.76s, train err: 8.1337e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [181/500], runtime:  0.77s, train err: 8.1261e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [182/500], runtime:  0.76s, train err: 8.1337e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [183/500], runtime:  0.77s, train err: 8.2376e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [184/500], runtime:  0.76s, train err: 8.3074e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [185/500], runtime:  0.77s, train err: 8.1740e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [186/500], runtime:  0.76s, train err: 8.1393e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [187/500], runtime:  0.76s, train err: 8.1578e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [188/500], runtime:  0.76s, train err: 8.1462e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [189/500], runtime:  0.76s, train err: 8.2140e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [190/500], runtime:  0.76s, train err: 8.1683e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [191/500], runtime:  0.77s, train err: 8.1176e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [192/500], runtime:  0.78s, train err: 8.1275e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [193/500], runtime:  0.77s, train err: 8.2252e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [194/500], runtime:  0.76s, train err: 8.1023e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [195/500], runtime:  0.77s, train err: 8.1445e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [196/500], runtime:  0.77s, train err: 8.1223e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [197/500], runtime:  0.76s, train err: 8.1452e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [198/500], runtime:  0.77s, train err: 8.1898e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [199/500], runtime:  0.76s, train err: 8.1050e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [200/500], runtime:  0.77s, train err: 8.1402e-03 (best: 8.1160e-03/8.0594e-03)
>> epoch [201/500], runtime: 0.75s, train err: 8.0872e-03, valid err: 8.0228e-03 , test err: 8.1510e-03
>> epoch [202/500], runtime:  0.76s, train err: 8.0884e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [203/500], runtime:  0.77s, train err: 8.0793e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [204/500], runtime:  0.77s, train err: 8.1140e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [205/500], runtime:  0.76s, train err: 8.1051e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [206/500], runtime:  0.77s, train err: 8.0866e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [207/500], runtime:  0.77s, train err: 8.1240e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [208/500], runtime:  0.76s, train err: 8.0987e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [209/500], runtime:  0.77s, train err: 8.1004e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [210/500], runtime:  0.75s, train err: 8.0973e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [211/500], runtime:  0.79s, train err: 8.0934e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [212/500], runtime:  0.76s, train err: 8.1118e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [213/500], runtime:  0.76s, train err: 8.0981e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [214/500], runtime:  0.76s, train err: 8.1067e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [215/500], runtime:  0.76s, train err: 8.1001e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [216/500], runtime:  0.75s, train err: 8.0936e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [217/500], runtime:  0.75s, train err: 8.1799e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [218/500], runtime:  0.76s, train err: 8.0960e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [219/500], runtime:  0.79s, train err: 8.1165e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [220/500], runtime:  0.78s, train err: 8.0910e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [221/500], runtime:  0.76s, train err: 8.1382e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [222/500], runtime:  0.77s, train err: 8.1041e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [223/500], runtime:  0.78s, train err: 8.1238e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [224/500], runtime:  0.77s, train err: 8.1156e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [225/500], runtime:  0.76s, train err: 8.0960e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [226/500], runtime:  0.77s, train err: 8.1050e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [227/500], runtime:  0.76s, train err: 8.1030e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [228/500], runtime:  0.75s, train err: 8.1023e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [229/500], runtime:  0.76s, train err: 8.1414e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [230/500], runtime:  0.75s, train err: 8.0951e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [231/500], runtime:  0.75s, train err: 8.1082e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [232/500], runtime:  0.76s, train err: 8.0944e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [233/500], runtime:  0.77s, train err: 8.1103e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [234/500], runtime:  0.78s, train err: 8.1078e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [235/500], runtime:  0.78s, train err: 8.0962e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [236/500], runtime:  0.76s, train err: 8.1049e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [237/500], runtime:  0.76s, train err: 8.0923e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [238/500], runtime:  0.77s, train err: 8.1021e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [239/500], runtime:  0.77s, train err: 8.1238e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [240/500], runtime:  0.76s, train err: 8.0923e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [241/500], runtime:  0.76s, train err: 8.1055e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [242/500], runtime:  0.75s, train err: 8.1080e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [243/500], runtime:  0.76s, train err: 8.0881e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [244/500], runtime:  0.77s, train err: 8.1026e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [245/500], runtime:  0.76s, train err: 8.0904e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [246/500], runtime:  0.77s, train err: 8.1006e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [247/500], runtime:  0.76s, train err: 8.0948e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [248/500], runtime:  0.76s, train err: 8.1460e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [249/500], runtime:  0.76s, train err: 8.0978e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [250/500], runtime:  0.77s, train err: 8.0792e-03 (best: 8.0872e-03/8.0228e-03)
>> epoch [251/500], runtime:  0.75s, train err: 8.0801e-03 (best: 8.0872e-03/8.0228e-03)
