0, tensor([0.0113]), 1.1920928955078125e-07, 219
1, tensor([0.0076]), 1.1175870895385742e-07, 154
2, tensor([0.0436]), 2.980232238769531e-07, 154
3, tensor([0.0138]), 1.1920928955078125e-07, 225
4, tensor([0.0033]), 1.1920928955078125e-07, 150
5, tensor([0.0108]), 1.1920928955078125e-07, 155
6, tensor([0.0040]), 8.568167686462402e-08, 154
7, tensor([0.0106]), 1.1920928955078125e-07, 221
8, tensor([0.0167]), 1.1920928955078125e-07, 154
9, tensor([0.0502]), 1.4901161193847656e-07, 220
10, tensor([0.0102]), 1.494772732257843e-07, 220
11, tensor([0.0136]), 9.313225746154785e-08, 217
12, tensor([0.0063]), 1.4528632164001465e-07, 218
13, tensor([0.0086]), 1.1920928955078125e-07, 218
14, tensor([0.0067]), 1.5273690223693848e-07, 154
15, tensor([0.0033]), 1.7881393432617188e-07, 215
16, tensor([0.0105]), 1.1920928955078125e-07, 220
17, tensor([0.0107]), 1.1920928955078125e-07, 219
18, tensor([0.0256]), 1.1920928955078125e-07, 222
19, tensor([0.0034]), 8.940696716308594e-08, 219
20, tensor([0.0099]), 1.4901161193847656e-07, 160
21, tensor([0.0048]), 1.1920928955078125e-07, 219
22, tensor([0.0113]), 1.341104507446289e-07, 291
23, tensor([0.0087]), 1.1920928955078125e-07, 223
24, tensor([0.0028]), 1.1920928955078125e-07, 223
25, tensor([0.0127]), 1.2665987014770508e-07, 218
26, tensor([0.0055]), 1.4901161193847656e-07, 152
27, tensor([0.1029]), 1.4901161193847656e-07, 222
28, tensor([0.0291]), 1.1920928955078125e-07, 159
29, tensor([0.0246]), 8.940696716308594e-08, 221
30, tensor([0.0027]), 1.1920928955078125e-07, 155
31, tensor([0.0069]), 1.1920928955078125e-07, 153
32, tensor([0.0080]), 1.1920928955078125e-07, 224
33, tensor([0.0093]), 1.1920928955078125e-07, 218
34, tensor([0.0086]), 1.4901161193847656e-07, 219
35, tensor([0.0098]), 1.1920928955078125e-07, 153
36, tensor([0.0094]), 2.384185791015625e-07, 221
37, tensor([0.0209]), 8.940696716308594e-08, 156
38, tensor([0.0145]), 8.940696716308594e-08, 161
39, tensor([0.0046]), 1.7881393432617188e-07, 217
40, tensor([0.0057]), 1.043081283569336e-07, 151
41, tensor([0.0576]), 1.1920928955078125e-07, 221
42, tensor([0.0059]), 1.043081283569336e-07, 151
43, tensor([0.0151]), 1.7881393432617188e-07, 218
44, tensor([0.0472]), 1.1920928955078125e-07, 284
45, tensor([0.0039]), 8.940696716308594e-08, 157
46, tensor([0.0385]), 1.9371509552001953e-07, 153
47, tensor([0.0356]), 1.1920928955078125e-07, 155
48, tensor([0.0222]), 1.1920928955078125e-07, 222
49, tensor([0.0068]), 1.4901161193847656e-07, 155
50, tensor([0.0122]), 1.1920928955078125e-07, 287
51, tensor([0.0032]), 1.1920928955078125e-07, 222
52, tensor([0.0039]), 1.1920928955078125e-07, 220
53, tensor([0.0045]), 1.1920928955078125e-07, 152
54, tensor([0.0138]), 1.1920928955078125e-07, 218
55, tensor([0.0038]), 1.341104507446289e-07, 157
56, tensor([0.0066]), 1.4901161193847656e-07, 220
57, tensor([0.0112]), 1.4901161193847656e-07, 287
58, tensor([0.0059]), 1.7881393432617188e-07, 159
59, tensor([0.0554]), 1.4901161193847656e-07, 154
60, tensor([0.0187]), 1.2665987014770508e-07, 221
61, tensor([0.0447]), 8.940696716308594e-08, 284
62, tensor([0.0347]), 8.940696716308594e-08, 156
63, tensor([0.0256]), 1.7881393432617188e-07, 153
64, tensor([0.0028]), 1.7881393432617188e-07, 152
65, tensor([0.0153]), 8.940696716308594e-08, 154
66, tensor([0.0035]), 1.1920928955078125e-07, 220
67, tensor([0.0061]), 1.1920928955078125e-07, 216
68, tensor([0.0348]), 1.4901161193847656e-07, 154
69, tensor([0.0025]), 1.4901161193847656e-07, 219
70, tensor([0.0133]), 5.960464477539063e-08, 222
71, tensor([0.0046]), 1.4901161193847656e-07, 153
72, tensor([0.0037]), 2.086162567138672e-07, 154
73, tensor([0.0054]), 5.960464477539063e-08, 221
74, tensor([0.0172]), 1.4901161193847656e-07, 155
75, tensor([0.0082]), 1.043081283569336e-07, 218
76, tensor([0.0026]), 1.1920928955078125e-07, 285
77, tensor([0.0239]), 1.7881393432617188e-07, 217
78, tensor([0.0176]), 8.940696716308594e-08, 219
79, tensor([0.0113]), 8.847564458847046e-08, 219
80, tensor([0.0041]), 8.940696716308594e-08, 153
81, tensor([0.0104]), 1.7881393432617188e-07, 154
82, tensor([0.0126]), 1.4901161193847656e-07, 219
83, tensor([0.0169]), 8.940696716308594e-08, 156
84, tensor([0.0040]), 1.1920928955078125e-07, 159
85, tensor([0.0262]), 7.450580596923828e-08, 219
86, tensor([0.0183]), 1.341104507446289e-07, 156
87, tensor([0.0191]), 1.1920928955078125e-07, 221
88, tensor([0.0050]), 8.940696716308594e-08, 156
89, tensor([0.0468]), 1.1920928955078125e-07, 220
