29, 3.2176e-06, fsolve flag:5, 3.7521e-07, 531
30, 1.5529e-05, fsolve flag:1, 4.3167e-07, 1053
31, 4.3360e-06, fsolve flag:1, 3.8883e-07, 1308
32, 8.1462e-06, fsolve flag:1, 6.1840e-07, 1054
33, 2.3000e-06, fsolve flag:5, 5.0582e-07, 531
34, 5.1014e-06, fsolve flag:5, 5.3970e-07, 533
35, 3.0863e-06, fsolve flag:1, 4.6380e-07, 1310
0, 1.1639e-03, fsolve flag:1, 8.6497e-08, 1052
1, 2.2068e-06, fsolve flag:5, 5.5414e-07, 533
2, 6.1229e-06, fsolve flag:1, 1.6484e-07, 791
3, 4.0584e-06, fsolve flag:5, 6.2888e-07, 533
4, 5.7721e-05, fsolve flag:5, 2.5402e-07, 1309
5, 2.6374e-06, fsolve flag:1, 3.2596e-07, 535
6, 5.4718e-06, fsolve flag:1, 6.8673e-07, 1307
7, 3.9889e-06, fsolve flag:1, 3.7672e-07, 1052
8, 5.5612e-06, fsolve flag:5, 4.4890e-07, 788
9, 4.0314e-05, fsolve flag:1, 7.2876e-08, 1309
10, 3.0599e-04, fsolve flag:1, 1.3568e-07, 793
11, 4.0834e-06, fsolve flag:1, 7.5437e-07, 534
12, 8.9902e-06, fsolve flag:5, 1.6671e-07, 533
13, 7.0602e-06, fsolve flag:1, 6.4075e-07, 1052
14, 7.2175e-06, fsolve flag:4, 2.9549e-07, 1303
15, 3.0957e-06, fsolve flag:1, 3.5908e-07, 792
16, 7.0760e-05, fsolve flag:1, 3.2980e-07, 536
17, 3.9563e-06, fsolve flag:1, 3.6322e-07, 1310
18, 7.5669e-06, fsolve flag:1, 3.0082e-07, 1048
19, 6.3264e-06, fsolve flag:1, 2.1886e-07, 791
20, 7.3612e-06, fsolve flag:1, 7.4133e-07, 793
21, 6.5538e-06, fsolve flag:5, 8.4564e-07, 792
22, 2.8157e-06, fsolve flag:1, 4.6287e-07, 790
23, 5.5621e-06, fsolve flag:5, 8.0699e-07, 790
24, 3.9371e-06, fsolve flag:5, 2.9162e-07, 533
25, 3.8461e-06, fsolve flag:5, 4.3027e-07, 1051
26, 5.7953e-06, fsolve flag:1, 1.4401e-07, 1050
27, 3.1766e-05, fsolve flag:5, 3.3306e-07, 1049
28, 4.4900e-06, fsolve flag:1, 3.8743e-07, 1053
29, 3.2176e-06, fsolve flag:5, 3.7521e-07, 531
30, 1.5529e-05, fsolve flag:1, 4.3167e-07, 1053
31, 4.3360e-06, fsolve flag:1, 3.8883e-07, 1308
32, 8.1462e-06, fsolve flag:1, 6.1840e-07, 1054
33, 2.3000e-06, fsolve flag:5, 5.0582e-07, 531
34, 5.1014e-06, fsolve flag:5, 5.3970e-07, 533
35, 3.0863e-06, fsolve flag:1, 4.6380e-07, 1310
36, 1.4117e-04, fsolve flag:5, 1.7765e-07, 1050
37, 1.9985e-05, fsolve flag:5, 3.8603e-07, 788
38, 5.0645e-06, fsolve flag:1, 6.5134e-07, 1050
39, 8.6990e-02, fsolve flag:5, 1.4889e-03, 527
40, 2.8063e-05, fsolve flag:1, 4.1211e-07, 1568
41, 9.1567e-06, fsolve flag:1, 4.1886e-07, 1310
42, 7.9345e-06, fsolve flag:1, 6.3051e-07, 1051
43, 9.5733e-06, fsolve flag:5, 1.4901e-07, 790
44, 2.1781e-06, fsolve flag:5, 5.6624e-07, 790
45, 2.5968e-05, fsolve flag:1, 8.3819e-08, 1048
46, 6.3682e-06, fsolve flag:1, 3.5111e-07, 792
47, 8.8648e-04, fsolve flag:5, 4.1095e-08, 793
48, 3.7552e-06, fsolve flag:5, 6.4960e-07, 531
49, 1.8572e-04, fsolve flag:1, 1.5763e-07, 792
mean err: 1.8030e-03
39, 8.6990e-02, fsolve flag:5, 1.4889e-03, 527
mean err: 1.7398e-03
39, 2.8522e-01, 8.6990e-02, fsolve flag:5, 1.4889e-03, 527
mean err: 1.7398e-03
1, 1.0272e-03, 2.2068e-06, fsolve flag:1, 5.5414e-07, 524
2, 7.6696e-04, 6.1217e-06, fsolve flag:1, 1.6112e-07, 523
3, 1.1456e-03, 4.0584e-06, fsolve flag:1, 6.2888e-07, 526
4, 2.3155e-02, 5.7721e-05, fsolve flag:1, 2.6706e-07, 782
5, 1.0576e-03, 2.6374e-06, fsolve flag:1, 3.2596e-07, 525
6, 1.2135e-03, 5.4716e-06, fsolve flag:1, 6.8673e-07, 523
7, 1.1825e-03, 3.9889e-06, fsolve flag:1, 3.7672e-07, 526
8, 1.2530e-03, 5.5612e-06, fsolve flag:1, 4.4890e-07, 523
9, 2.1856e-03, 4.0314e-05, fsolve flag:1, 6.9849e-08, 782
11, 1.2086e-03, 4.0849e-06, fsolve flag:1, 8.1398e-07, 524
12, 9.2102e-04, 8.9902e-06, fsolve flag:1, 1.6671e-07, 524
13, 1.6328e-03, 7.0597e-06, fsolve flag:1, 6.4448e-07, 524
14, 1.0540e-03, 7.2173e-06, fsolve flag:1, 2.9549e-07, 784
15, 1.1436e-03, 3.0960e-06, fsolve flag:1, 3.5908e-07, 525
16, 2.0404e-02, 7.0760e-05, fsolve flag:1, 3.2980e-07, 526
17, 1.1945e-03, 3.9565e-06, fsolve flag:1, 3.7916e-07, 526
18, 1.0612e-03, 7.5669e-06, fsolve flag:1, 3.0082e-07, 523
19, 8.7358e-04, 6.3264e-06, fsolve flag:1, 2.1886e-07, 781
20, 1.4962e-03, 7.3613e-06, fsolve flag:1, 7.4133e-07, 783
21, 1.4676e-03, 6.5538e-06, fsolve flag:1, 8.4564e-07, 526
22, 9.3199e-04, 2.8162e-06, fsolve flag:1, 4.3144e-07, 522
23, 1.2316e-03, 5.5621e-06, fsolve flag:1, 8.0699e-07, 524
24, 1.0972e-03, 3.9372e-06, fsolve flag:1, 2.9162e-07, 268
25, 1.0555e-03, 3.8465e-06, fsolve flag:1, 4.3027e-07, 526
26, 9.4251e-04, 5.7952e-06, fsolve flag:1, 1.4401e-07, 525
27, 1.3818e-02, 3.1765e-05, fsolve flag:1, 3.3912e-07, 524
28, 1.0141e-03, 4.4902e-06, fsolve flag:1, 3.8743e-07, 524
29, 1.3322e-03, 3.2176e-06, fsolve flag:1, 3.7521e-07, 524
30, 4.2585e-03, 1.5528e-05, fsolve flag:1, 4.3167e-07, 526
31, 1.0677e-03, 4.3361e-06, fsolve flag:1, 3.8464e-07, 524
32, 1.2402e-03, 8.1459e-06, fsolve flag:1, 6.1840e-07, 528
33, 1.0622e-03, 2.3000e-06, fsolve flag:1, 5.0582e-07, 525
34, 1.5293e-03, 5.1014e-06, fsolve flag:1, 5.3970e-07, 524
35, 1.1400e-03, 3.0860e-06, fsolve flag:1, 4.6380e-07, 526
36, 2.3121e-02, 1.4117e-04, fsolve flag:1, 1.7765e-07, 784
37, 3.1957e-03, 1.9985e-05, fsolve flag:1, 3.8603e-07, 523
38, 1.0136e-03, 5.0642e-06, fsolve flag:1, 6.5134e-07, 524
40, 7.4359e-03, 2.8064e-05, fsolve flag:1, 3.4878e-07, 526
41, 9.2653e-04, 9.1566e-06, fsolve flag:1, 4.1886e-07, 526
42, 1.8412e-03, 7.9343e-06, fsolve flag:1, 6.4913e-07, 525
43, 9.6263e-04, 9.5733e-06, fsolve flag:1, 1.4901e-07, 525
44, 9.5837e-04, 2.1781e-06, fsolve flag:1, 5.6624e-07, 524
45, 2.2386e-03, 2.5968e-05, fsolve flag:1, 1.2573e-07, 523
46, 9.8762e-04, 6.3686e-06, fsolve flag:1, 3.5111e-07, 524
48, 1.1445e-03, 3.7552e-06, fsolve flag:1, 6.4960e-07, 524
49, 4.6915e-02, 1.8571e-04, fsolve flag:1, 1.5699e-07, 524
mean err: 1.7520e-05
